User,Tweets Ago,Date,Compound,Positive,Negative,Neutral,Tweet Text
CBSNews,17,Sun Nov 05 20:25:01 +0000 2017,0.0,0.0,0.0,1.0,"JUST IN: At least 15 people shot in Sutherland Springs church shooting, law enforcement official tells CBS News… https://t.co/XUkHKBO9Jw"
CBSNews,18,Sun Nov 05 20:14:51 +0000 2017,0.3612,0.122,0.0,0.878,"""We do know there was a pursuit. It seems like it was a vehicle pursuit,"" CBS News' Pat Milton says… https://t.co/QcVbhNatVm"
CBSNews,19,Sun Nov 05 20:12:02 +0000 2017,0.0,0.0,0.0,1.0,".@POTUS tweets he is ""monitoring situation from Japan"" after shooting at Texas church that left multiple dead… https://t.co/KHZ3xjxBi3"
CBSNews,20,Sun Nov 05 20:10:01 +0000 2017,-0.296,0.0,0.121,0.879,"JUST IN: Sutherland Springs, Texas, church shooting suspect is down after a pursuit, sources tell CBS News… https://t.co/pV08GWfuYn"
CBSNews,21,Sun Nov 05 23:33:32 +0000 2017,0.0,0.0,0.0,1.0,"SOON: Law enforcement officials to give update on the church shooting in Sutherland Springs, Texas… https://t.co/b9okeY8pB2"
CBSNews,22,Sun Nov 05 23:30:33 +0000 2017,0.0,0.0,0.0,1.0,"WH Press sec. says Pres. Trump "" has been briefed several times"" on Texas shooting &amp; receiving regular updates… https://t.co/mKxSSd8vHQ"
CBSNews,23,Sun Nov 05 23:12:01 +0000 2017,-0.296,0.0,0.109,0.891,"Suspect in deadly Texas shooting served in the U.S. Air Force, was dishonorably discharged, CBS News has learned… https://t.co/XZIXFSvmj7"
CBSNews,24,Sun Nov 05 22:48:19 +0000 2017,-0.296,0.0,0.109,0.891,"JUST IN: Suspect in Texas church shooting has been identified as Devin Patrick Kelley, sources tell CBS News… https://t.co/25kWmP2XVf"
CBSNews,25,Sun Nov 05 22:39:01 +0000 2017,0.0,0.0,0.0,1.0,"""This guy came in around 11:15 a.m. and started shooting everybody in the church,” AG @KenPaxtonTX said on CBSN.… https://t.co/PtCWa0ZE3K"
CBSNews,26,Sun Nov 05 22:35:31 +0000 2017,0.0,0.0,0.0,1.0,"Sen. Richard Blumenthal says ""enough is enough"" after church shooting in Sutherland Springs, Texas:… https://t.co/n6zBK9aFUG"
CBSNews,27,Sun Nov 05 22:15:02 +0000 2017,-0.6705,0.0,0.2,0.8,"14-year-old daughter of First Baptist Church's pastor is among those killed in Texas shooting, mother tells CBS New… https://t.co/1UmCov9mQu"
